channel_name,date,cost,ihc,ihc_revenue,CPO,ROAS
Affiliate & Partnerships,2023-08-29,11.795,0.0,0.0,,0.0
Direct Traffic,2023-08-29,0.0,2.1799,87.245037,0.0,
FB & IG Ads,2023-08-29,13.248,0.8966,50.095194,14.775819763551194,3.7813401268115943
Newsletter & Email,2023-08-29,0.0,0.2984,28.465986,0.0,
Organic Traffic,2023-08-29,0.0,0.4387,35.581078,0.0,
Paid Search Brand,2023-08-29,6.863,0.9395,64.48566100000001,7.304949441192124,9.39613303220166
Paid Search Non Brand,2023-08-29,5.893,0.0792,7.444800000000001,74.40656565656565,1.2633293738333617
Performance Max,2023-08-29,13.952,0.5055,52.803462,27.600395647873395,3.784651806192661
Referral,2023-08-29,0.0,0.0,0.0,,
Social Organic,2023-08-29,0.0,0.0,0.0,,
Untracked Conversions,2023-08-29,0.0,0.0,0.0,,
Affiliate & Partnerships,2023-08-30,3.756,0.0,0.0,,0.0
Direct Traffic,2023-08-30,0.0,3.0072,204.55638,0.0,
FB & IG Ads,2023-08-30,3.349,0.1463,11.408474000000002,22.89131920710868,3.4065315019408784
Newsletter & Email,2023-08-30,0.0,0.3556,37.044520000000006,0.0,
Organic Traffic,2023-08-30,0.0,0.3258,24.515244,0.0,
Paid Search Brand,2023-08-30,4.982,1.4602,108.91403,3.4118613888508427,21.86150742673625
Paid Search Non Brand,2023-08-30,0.633,0.0,0.0,,0.0
Performance Max,2023-08-30,14.163,1.6774,92.793638,8.443424347204006,6.551834921979807
Affiliate & Partnerships,2023-08-31,5.4639999999999995,0.1027,4.151134,53.20350535540408,0.7597243777452416
Direct Traffic,2023-08-31,0.0,6.8867,324.828123,0.0,
FB & IG Ads,2023-08-31,16.56,1.2644,18.558546,13.097121164188547,1.1206851449275363
Microsoft Ads,2023-08-31,0.065,0.3556,8.065008,0.1827896512935883,124.07704615384615
Newsletter & Email,2023-08-31,0.0,9.874,899.818582,0.0,
Organic Traffic,2023-08-31,0.0,1.5270000000000001,96.942766,0.0,
Paid Search Brand,2023-08-31,6.513,2.9599,223.700791,2.20041217608703,34.34681268232765
Paid Search Non Brand,2023-08-31,5.495,0.6769999999999999,17.78407,8.116691285081242,3.2364094631483167
Performance Max,2023-08-31,19.665,3.7375,135.759787,5.2615384615384615,6.90362506992118
Referral,2023-08-31,0.0,0.6097,37.236042000000005,0.0,
Affiliate & Partnerships,2023-09-01,24.72,8.3276,418.834899,2.968442288294346,16.943159344660195
Direct Traffic,2023-09-01,0.0,66.9286,4262.391439,0.0,
FB & IG Ads,2023-09-01,77.464,26.124200000000002,1020.985007,2.965219987597706,13.180122469792419
Newsletter & Email,2023-09-01,0.0,42.9452,2532.336864,0.0,
Organic Traffic,2023-09-01,0.0,12.5353,666.540096,0.0,
Paid Search Brand,2023-09-01,30.625,36.2474,1967.5139570000001,0.8448881850836198,64.24535369795919
Paid Search Non Brand,2023-09-01,10.702,2.2899000000000003,126.41422700000001,4.673566531289575,11.81220584937395
Performance Max,2023-09-01,92.909,49.1672,2043.161544,1.889654078328642,21.990997040114518
Referral,2023-09-01,0.0,3.9965,452.899342,0.0,
Social Organic,2023-09-01,0.0,0.7535000000000001,10.63942,0.0,
TikTok Ads,2023-09-01,9.947,2.4792,23.626608,4.0121813488222005,2.3752496230019102
Untracked Conversions,2023-09-01,0.0,9.0,718.59,0.0,
Affiliate & Partnerships,2023-09-02,38.571,2.3197,97.27910200000001,16.627581152735267,2.522078815690545
Direct Traffic,2023-09-02,0.0,63.2322,4787.823436,0.0,
FB & IG Ads,2023-09-02,92.053,25.4262,1218.927511,3.6203994305086877,13.241583772391992
Microsoft Ads,2023-09-02,4.9110000000000005,6.5128,514.844496,0.7540535560741924,104.83496151496641
Newsletter & Email,2023-09-02,0.0,31.2652,2473.706802,0.0,
Organic Traffic,2023-09-02,0.0,22.9738,1345.3824260000001,0.0,
Paid Search Brand,2023-09-02,20.215,28.2072,1596.096129,0.7166609943560509,78.95602913677962
Paid Search Non Brand,2023-09-02,8.771,3.4208,180.744187,2.5640201122544437,20.6070216622962
Performance Max,2023-09-02,119.364,61.9159,3320.410533,1.9278408292538751,27.81752063436212
Referral,2023-09-02,0.0,4.4468,340.053454,0.0,
Social Organic,2023-09-02,0.0,2.2755,129.13195000000002,0.0,
TikTok Ads,2023-09-02,2.641,1.0,18.33,2.641,6.940552820901173
Untracked Conversions,2023-09-02,0.0,3.0,105.53,0.0,
Affiliate & Partnerships,2023-09-03,12.148,3.9793,176.59305,3.052798230844621,14.536800296345078
Direct Traffic,2023-09-03,0.0,79.7793,4903.4433,0.0,
FB & IG Ads,2023-09-03,102.781,28.3313,1075.020503,3.627825055680467,10.459331033945961
Microsoft Ads,2023-09-03,0.517,1.0,118.33,0.517,228.87814313346226
Newsletter & Email,2023-09-03,0.0,39.7745,2873.017186,0.0,
Organic Traffic,2023-09-03,0.0,21.059,1126.776176,0.0,
Paid Search Brand,2023-09-03,43.022,49.8807,3698.873187,0.8624979200372088,85.97631879038632
Paid Search Non Brand,2023-09-03,10.744,7.6144,384.195225,1.4110107165370875,35.75904923678332
Performance Max,2023-09-03,114.911,69.5458,2760.623138,1.6523068251425679,24.02401108684112
Referral,2023-09-03,0.0,7.889,466.88731,0.0,
Social Organic,2023-09-03,0.0,1.483,78.44272000000001,0.0,
TikTok Ads,2023-09-03,9.43,3.0,36.82,3.143333333333333,3.904559915164369
Untracked Conversions,2023-09-03,0.0,8.3215,476.927565,0.0,
Affiliate & Partnerships,2023-09-04,21.41,6.6114,342.813138,3.238345887406601,16.011823353573096
Direct Traffic,2023-09-04,0.0,92.0149,7427.999533,0.0,
FB & IG Ads,2023-09-04,75.16,21.002,639.455436,3.57870678982954,8.507922245875466
Microsoft Ads,2023-09-04,3.182,4.2576,336.66642,0.747369409996242,105.80340037712132
Newsletter & Email,2023-09-04,0.0,155.5006,11129.215236,0.0,
Organic Traffic,2023-09-04,1.629,20.6388,1139.990582,0.07892900750043608,699.8100564763658
Paid Search Brand,2023-09-04,30.561,49.0991,3050.67862,0.6224350344507333,99.82260462681195
Paid Search Non Brand,2023-09-04,8.515,1.3932,46.839133000000004,6.111828883146713,5.500778978273635
Performance Max,2023-09-04,152.019,71.9024,2547.169705,2.11424097109415,16.75560097750939
Referral,2023-09-04,0.0,11.0794,957.461114,0.0,
Social Organic,2023-09-04,0.0,3.144,137.41243,0.0,
Untracked Conversions,2023-09-04,0.0,11.303,616.03205,0.0,
Affiliate & Partnerships,2023-09-05,7.337,4.3215,199.687287,1.6977901191715838,27.216476352732727
Direct Traffic,2023-09-05,0.084,38.9178,3042.381981,0.0021583953872007155,36218.833107142855
FB & IG Ads,2023-09-05,49.298,14.0631,265.482263,3.5054859881533944,5.385254229380502
Microsoft Ads,2023-09-05,3.508,2.5281000000000002,91.983757,1.3876033384755349,26.221139395667045
Newsletter & Email,2023-09-05,0.0,19.0065,1080.491337,0.0,
Organic Traffic,2023-09-05,0.0,29.8295,1711.491724,0.0,
Paid Search Brand,2023-09-05,26.189,23.2022,1638.785012,1.1287291722336674,62.57531833976097
Paid Search Non Brand,2023-09-05,7.776999999999999,2.8711,237.29923799999997,2.7087179129950187,30.51295332390382
Performance Max,2023-09-05,107.923,56.2932,1996.191861,1.9171587332040105,18.496445252633823
Referral,2023-09-05,0.0,3.1658,144.91921399999998,0.0,
Social Organic,2023-09-05,0.0,1.7338,54.416703999999996,0.0,
TikTok Ads,2023-09-05,6.396,2.0,17.490000000000002,3.198,2.734521575984991
Untracked Conversions,2023-09-05,0.0,2.0379,46.143326,0.0,
Affiliate & Partnerships,2023-09-06,10.554,4.8005,194.48095,2.198520987397146,18.427226643926474
Direct Traffic,2023-09-06,0.0,35.4239,1826.343652,0.0,
FB & IG Ads,2023-09-06,71.837,21.9658,830.584806,3.2704021706470967,11.562075337221765
Microsoft Ads,2023-09-06,0.08,0.5164,66.82216,0.1549186676994578,835.2769999999999
Newsletter & Email,2023-09-06,0.0,15.7075,836.927563,0.0,
Organic Traffic,2023-09-06,0.0,20.6741,1582.860936,0.0,
Paid Search Brand,2023-09-06,26.826,24.0129,1894.044717,1.1171495321264822,70.6048131290539
Paid Search Non Brand,2023-09-06,2.1310000000000002,0.5706,39.44232,3.7346652646337195,18.50883153449085
Performance Max,2023-09-06,100.757,53.1314,1619.841883,1.896373895662452,16.07671807417847
Referral,2023-09-06,0.0,8.7204,409.294173,0.0,
Social Organic,2023-09-06,0.0,1.5026000000000002,138.693716,0.0,
TikTok Ads,2023-09-06,6.993,2.0,71.9,3.4965,10.281710281710282
Untracked Conversions,2023-09-06,0.0,6.0,196.98,0.0,
Affiliate & Partnerships,2023-09-07,11.852,5.7469,319.01162,2.0623292557726773,26.916268984137698
Direct Traffic,2023-09-07,0.0,32.7138,1909.407153,0.0,
FB & IG Ads,2023-09-07,51.304,15.7816,354.834985,3.250874436052112,6.916322021674723
Microsoft Ads,2023-09-07,1.535,3.0,130.47,0.5116666666666666,84.99674267100977
Newsletter & Email,2023-09-07,0.0,48.8897,3287.174884,0.0,
Organic Traffic,2023-09-07,0.0,11.0387,675.336366,0.0,
Paid Search Brand,2023-09-07,28.922,37.9133,2534.75417,0.7628457559748163,87.64104038448241
Paid Search Non Brand,2023-09-07,3.764,1.0,93.18,3.764,24.755579171094585
Performance Max,2023-09-07,69.17,47.1839,1471.80885,1.4659661452317423,21.278138643920773
Referral,2023-09-07,0.0,1.6303,76.339969,0.0,
Social Organic,2023-09-07,0.0,3.4055,324.136884,0.0,
Untracked Conversions,2023-09-07,0.0,10.0,818.15,0.0,
